ts,timestamp,latency_ms,mode,recall_at10,profile,rerank,candidate_k,cache_hit,cache_saved_ms,p95_ms,tokens_in,tokens_out,est_cost,success,group,params_snapshot,rerank_latency_ms,rerank_model,rerank_hit,qdrant_latency_ms,collection_name,should_rerank_v2,trigger_reason,rerank_budget_ok,rerank_timeout,fallback_used,dispersion,rolling_hit_rate,recall_proxy
1760241556650,2025-10-11T20:59:16.650472,0.00286102294921875,on,0.85,balanced,0,0,1,352.25892066955566,0.00286102294921875,1,143,0.0043,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241557033,2025-10-11T20:59:17.033956,379.1229724884033,off,0.882900566540183,,1,50,0,0,379.1229724884033,2,138,0.00416,True,off,,349.8849868774414,cross-encoder/ms-marco-MiniLM-L-6-v2,1,28.401851654052734,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.12755459999999996,0.3,1
1760241557150,2025-10-11T20:59:17.150425,0.0030994415283203125,on,0.85,balanced,0,0,1,86.2581729888916,0.0030994415283203125,3,270,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241557181,2025-10-11T20:59:17.181031,26.287078857421875,off,0.7818979569829457,,0,50,0,0,26.287078857421875,3,253,0.00762,True,off,,0,skipped:len|dispersion|budget,0,25.410175323486328,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.10987513000000002,0.3170731707317073,0
1760241557651,2025-10-11T20:59:17.651214,0.005245208740234375,on,0.85,balanced,0,0,1,86.2581729888916,0.005245208740234375,3,270,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241557686,2025-10-11T20:59:17.686287,29.204130172729492,off,0.7793702982073668,,0,50,0,0,29.204130172729492,3,212,0.00639,True,off,,0,skipped:len|dispersion|budget,0,27.766942977905273,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.08625896999999999,0.30952380952380953,0
1760241558151,2025-10-11T20:59:18.151453,0.004291534423828125,on,0.85,balanced,0,0,1,47.67894744873047,0.004291534423828125,0,271,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241558186,2025-10-11T20:59:18.186756,29.710769653320312,off,0.7968206263870233,,0,50,0,0,29.710769653320312,1,304,0.00913,True,off,,0,skipped:len|dispersion|budget,0,28.028249740600586,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.09660280000000004,0.3023255813953488,0
1760241558651,2025-10-11T20:59:18.651528,0.006198883056640625,on,0.85,balanced,0,0,1,383.9402198791504,0.006198883056640625,0,134,0.004019999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241559063,2025-10-11T20:59:19.063037,406.24094009399414,off,0.8589672085532953,,1,50,0,0,406.24094009399414,1,178,0.00535,True,off,,377.2768974304199,cross-encoder/ms-marco-MiniLM-L-6-v2,1,27.257919311523438,beir_fiqa_full_ta,True,len|dispersion,True,False,False,0.07563317000000003,0.29545454545454547,1
1760241559148,2025-10-11T20:59:19.148688,0.0016689300537109375,on,0.85,balanced,0,0,1,377.19011306762695,0.0016689300537109375,2,130,0.00392,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241559175,2025-10-11T20:59:19.175547,23.31709861755371,off,0.798256424842686,,0,50,0,0,23.31709861755371,3,215,0.0064800000000000005,True,off,,0,skipped:len|budget,0,22.384166717529297,beir_fiqa_full_ta,False,len|budget,False,False,False,0.06762863999999996,0.3111111111111111,0
1760241559700,2025-10-11T20:59:19.700744,49.15308952331543,on,0.8883031193694025,,0,50,0,0,49.15308952331543,2,208,0.00626,True,on,,0,skipped:len|budget,0,47.76406288146973,beir_fiqa_full_ta,False,len|budget,False,False,False,0.06411415999999998,0.30434782608695654,1
1760241560041,2025-10-11T20:59:20.041041,334.2430591583252,off,0.8708116739048171,,1,50,0,0,334.2430591583252,3,127,0.0038399999999999997,True,off,,302.4110794067383,cross-encoder/ms-marco-MiniLM-L-6-v2,1,30.010223388671875,beir_fiqa_full_ta,True,len,True,False,False,0.055741189999999996,0.2978723404255319,1
1760241560151,2025-10-11T20:59:20.151738,0.006198883056640625,on,0.85,balanced,0,0,1,352.25892066955566,0.006198883056640625,1,143,0.0043,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241560186,2025-10-11T20:59:20.186674,27.126073837280273,off,0.8322610861662886,,0,50,0,0,27.126073837280273,2,248,0.007459999999999999,True,off,,0,skipped:len|dispersion|budget,0,26.1991024017334,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.12507249999999998,0.3125,0
1760241560651,2025-10-11T20:59:20.651356,0.00476837158203125,on,0.85,balanced,0,0,1,383.9402198791504,0.00476837158203125,0,134,0.004019999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241560686,2025-10-11T20:59:20.686541,29.301881790161133,off,0.8396354763121222,,0,50,0,0,29.301881790161133,1,291,0.00874,True,off,,0,skipped:len|dispersion|budget,0,27.453184127807617,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.07090228999999998,0.30612244897959184,0
1760241561192,2025-10-11T20:59:21.192874,41.15891456604004,on,0.8652752221860031,,0,50,0,0,41.15891456604004,0,282,0.008459999999999999,True,on,,0,skipped:none,0,39.77084159851074,beir_fiqa_full_ta,False,none,True,False,False,0.03615368000000002,0.3,1
1760241561896,2025-10-11T20:59:21.896647,697.8878974914551,off,0.9177189340011871,,1,50,0,0,697.8878974914551,1,159,0.0047799999999999995,True,off,,668.5969829559326,cross-encoder/ms-marco-MiniLM-L-6-v2,1,28.033018112182617,beir_fiqa_full_ta,True,len,True,False,False,0.06756373999999998,0.29411764705882354,1
1760241561900,2025-10-11T20:59:21.900329,0.0021457672119140625,on,0.85,balanced,0,0,1,86.2581729888916,0.0021457672119140625,3,270,0.008129999999999998,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241561925,2025-10-11T20:59:21.925952,23.105144500732422,off,0.8125713466948787,,0,50,0,0,23.105144500732422,3,229,0.006900000000000001,True,off,,0,skipped:len|dispersion|budget,0,22.40896224975586,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.09567229999999999,0.3076923076923077,0
1760241562150,2025-10-11T20:59:22.150683,0.003814697265625,on,0.85,balanced,0,0,1,352.25892066955566,0.003814697265625,1,143,0.0043,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241562187,2025-10-11T20:59:22.187307,31.276941299438477,off,0.8684307283893918,,0,50,0,0,31.276941299438477,2,239,0.007189999999999999,True,off,,0,skipped:len|dispersion|budget,0,29.999971389770508,beir_fiqa_full_ta,False,len|dispersion|budget,False,False,False,0.12146402,0.3018867924528302,0
1760241578704,2025-10-11T20:59:38.704492,0.0030994415283203125,on,0.85,balanced,0,0,1,341.13097190856934,0.0030994415283203125,0,158,0.00474,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241579078,2025-10-11T20:59:39.078779,369.98796463012695,off,0.8791152735916556,,1,50,0,0,369.98796463012695,1,168,0.00505,True,off,,317.7180290222168,cross-encoder/ms-marco-MiniLM-L-6-v2,1,51.3606071472168,beir_fiqa_full_ta,True,len|kw,True,False,False,0.047605399999999964,0.2962962962962963,1
1760241579203,2025-10-11T20:59:39.203721,0.0040531158447265625,on,0.85,balanced,0,0,1,30.817031860351562,0.0040531158447265625,0,267,0.00801,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241579231,2025-10-11T20:59:39.231930,24.712800979614258,off,0.8005463356661418,,0,50,0,0,24.712800979614258,1,242,0.0072699999999999996,True,off,,0,skipped:len|kw|dispersion|budget,0,23.90289306640625,beir_fiqa_full_ta,False,len|kw|dispersion|budget,False,False,False,0.1041762,0.3090909090909091,0
1760241579703,2025-10-11T20:59:39.703927,0.003814697265625,on,0.85,balanced,0,0,1,45.25184631347656,0.003814697265625,2,270,0.008119999999999999,True,on,,0,disabled,0,0,,False,,True,False,False,0.0,0.0,0
1760241579745,2025-10-11T20:59:39.745580,35.009145736694336,off,0.8183221088096357,,0,50,0,0,35.009145736694336,3,234,0.00705,True,off,,0,skipped:len|budget,0,32.98592567443848,beir_fiqa_full_ta,False,len|budget,False,False,False,0.05539213999999998,0.30357142857142855,0
