timestamp,p95_ms,recall_at10,tokens_in,tokens_out,est_cost,success
2025-10-08T21:34:53.192122,83.96220207214355,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:53.269374,70.27792930603027,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:54.388895,105.37099838256836,0.85,1,18,0.00055,True
2025-10-08T21:34:54.497237,99.45487976074219,0.85,1,18,0.00055,True
2025-10-08T21:34:54.596358,93.54901313781738,0.85,1,18,0.00055,True
2025-10-08T21:34:55.700251,90.15798568725586,0.85,1,18,0.00055,True
2025-10-08T21:34:55.814985,108.72602462768555,0.85,1,18,0.00055,True
2025-10-08T21:34:55.931040,110.61882972717285,0.85,1,18,0.00055,True
2025-10-08T21:34:57.085174,142.1799659729004,0.85,1,18,0.00055,True
2025-10-08T21:34:57.196324,104.93803024291992,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:57.331695,130.23018836975098,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:34:58.449394,106.52494430541992,0.85,1,18,0.00055,True
2025-10-08T21:34:58.605523,149.5370864868164,0.85,1,18,0.00055,True
2025-10-08T21:34:58.703600,90.50226211547852,0.85,1,18,0.00055,True
2025-10-08T21:34:59.854815,139.72997665405273,0.85,1,18,0.00055,True
2025-10-08T21:34:59.948129,86.7457389831543,0.85,1,18,0.00055,True
2025-10-08T21:35:00.012264,57.639122009277344,0.85,1,18,0.00055,True
2025-10-08T21:35:01.108132,84.4871997833252,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:35:01.254758,138.61083984375,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:35:01.369734,108.05201530456543,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:35:02.527396,144.88720893859863,0.85,1,18,0.00055,True
2025-10-08T21:35:02.650295,115.37790298461914,0.85,1,18,0.00055,True
2025-10-08T21:35:02.798249,143.1102752685547,0.85,1,18,0.00055,True
2025-10-08T21:35:03.873668,64.22996520996094,0.85,1,18,0.00055,True
2025-10-08T21:35:04.016482,134.86099243164062,0.85,1,18,0.00055,True
2025-10-08T21:35:04.130703,108.49380493164062,0.85,1,18,0.00055,True
2025-10-08T21:35:05.205302,61.161041259765625,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:35:05.346219,131.94704055786133,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:35:05.431083,79.33878898620605,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:01.973275,144.1340446472168,0.85,0,9,0.00027,True
2025-10-08T21:46:08.470001,133.14104080200195,0.85,0,9,0.00027,True
2025-10-08T21:46:08.544350,59.31496620178223,0.85,0,9,0.00027,True
2025-10-08T21:46:08.734538,150.3579616546631,0.85,0,9,0.00027,True
2025-10-08T21:46:17.184790,141.28994941711426,0.85,1,11,0.00033999999999999997,True
2025-10-08T21:46:17.324524,123.29888343811035,0.85,1,11,0.00033999999999999997,True
2025-10-08T21:46:17.468699,126.07216835021973,0.85,1,11,0.00033999999999999997,True
2025-10-08T21:46:32.120915,151.1361598968506,0.85,1,18,0.00055,True
2025-10-08T21:46:32.192715,66.89095497131348,0.85,1,18,0.00055,True
2025-10-08T21:46:32.271994,74.7840404510498,0.85,1,18,0.00055,True
2025-10-08T21:46:33.400888,117.12002754211426,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:33.538676,131.40392303466797,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:33.622005,76.60818099975586,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:34.737317,104.23493385314941,0.85,1,18,0.00055,True
2025-10-08T21:46:34.869798,126.07002258300781,0.85,1,18,0.00055,True
2025-10-08T21:46:34.946858,72.27802276611328,0.85,1,18,0.00055,True
2025-10-08T21:46:36.091576,132.06100463867188,0.85,1,18,0.00055,True
2025-10-08T21:46:36.159445,60.102224349975586,0.85,1,18,0.00055,True
2025-10-08T21:46:36.259295,94.63334083557129,0.85,1,18,0.00055,True
2025-10-08T21:46:37.359083,92.16117858886719,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:37.514639,149.31297302246094,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:37.646122,127.28309631347656,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:38.773985,117.82574653625488,0.85,1,18,0.00055,True
2025-10-08T21:46:38.860741,80.00683784484863,0.85,1,18,0.00055,True
2025-10-08T21:46:38.958906,91.9497013092041,0.85,1,18,0.00055,True
2025-10-08T21:46:40.109073,137.10403442382812,0.85,1,18,0.00055,True
2025-10-08T21:46:40.243068,128.60703468322754,0.85,1,18,0.00055,True
2025-10-08T21:46:40.352841,103.00803184509277,0.85,1,18,0.00055,True
2025-10-08T21:46:41.429495,65.24538993835449,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:41.552633,118.48306655883789,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:41.665299,107.57970809936523,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:42.773883,98.03891181945801,0.85,1,18,0.00055,True
2025-10-08T21:46:42.847784,66.08700752258301,0.85,1,18,0.00055,True
2025-10-08T21:46:42.993655,140.9151554107666,0.85,1,18,0.00055,True
2025-10-08T21:46:44.128588,124.01080131530762,0.85,1,18,0.00055,True
2025-10-08T21:46:44.217153,76.69901847839355,0.85,1,18,0.00055,True
2025-10-08T21:46:44.290941,68.89605522155762,0.85,1,18,0.00055,True
2025-10-08T21:46:45.384568,84.1512680053711,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:45.503640,113.14702033996582,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:45.656327,146.94619178771973,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:46.791832,124.50003623962402,0.85,1,18,0.00055,True
2025-10-08T21:46:46.944985,146.5299129486084,0.85,1,18,0.00055,True
2025-10-08T21:46:47.022397,72.6311206817627,0.85,1,18,0.00055,True
2025-10-08T21:46:48.101305,70.48439979553223,0.85,1,18,0.00055,True
2025-10-08T21:46:48.210150,103.46317291259766,0.85,1,18,0.00055,True
2025-10-08T21:46:48.319200,103.7590503692627,0.85,1,18,0.00055,True
2025-10-08T21:46:49.482044,153.46097946166992,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:49.619024,131.25991821289062,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:49.684317,59.044837951660156,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:50.841341,145.43390274047852,0.85,1,18,0.00055,True
2025-10-08T21:46:50.985546,138.200044631958,0.85,1,18,0.00055,True
2025-10-08T21:46:51.139343,148.00691604614258,0.85,1,18,0.00055,True
2025-10-08T21:46:52.249671,99.6849536895752,0.85,1,18,0.00055,True
2025-10-08T21:46:52.382251,126.80292129516602,0.85,1,18,0.00055,True
2025-10-08T21:46:52.487863,100.99315643310547,0.85,1,18,0.00055,True
2025-10-08T21:46:53.617999,118.37887763977051,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:53.686105,62.68596649169922,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:53.822620,130.8910846710205,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:54.973227,138.13519477844238,0.85,1,18,0.00055,True
2025-10-08T21:46:55.078023,98.06180000305176,0.85,1,18,0.00055,True
2025-10-08T21:46:55.136204,52.93703079223633,0.85,1,18,0.00055,True
2025-10-08T21:46:56.242793,94.50697898864746,0.85,1,18,0.00055,True
2025-10-08T21:46:56.342241,93.64891052246094,0.85,1,18,0.00055,True
2025-10-08T21:46:56.456622,109.34138298034668,0.85,1,18,0.00055,True
2025-10-08T21:46:57.584965,118.53575706481934,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:57.697473,106.41193389892578,0.85,2,22,0.0006799999999999999,True
2025-10-08T21:46:57.772675,70.74618339538574,0.85,2,22,0.0006799999999999999,True
